field_season	plot	date_collected	species	sex	weight_g	calibrated_correctly
2014	2	2014-01-08	PF	F	7	Yes
2014	2	2014-02-18	PF	F	7	Yes
2014	3	2015-03-11	PF	M	8	Yes
2014	3	2015-06-09	OT	F	29	Yes
2013	4	2013-07-18	DM	F	29	Yes
2013	3	2013-10-17	DO	F	33	Yes
2013	7	2013-07-16	DM	M	33	Yes
2014	4	1978-01-08	OL	M	35	Yes
2014	1	2014-01-09	DM	F	36	Yes
2014	4	1978-01-08	DM	F	37	Yes
2013	6	2013-07-18	DM	F	37	Yes
2013	9	2013-12-10	DO	F	40	Yes
2014	1	2014-01-09	DM	M	40	Yes
2013	3	2013-07-18	DM	M	40	Yes
2013	8	2013-12-11	DO	F	41	Yes
2014	1	2014-03-13	DM	F	44	Yes
2014	2	2014-01-08	DM	M	44	Yes
2014	2	2014-01-08	DM	M	45	Yes
2013	1	2013-12-10	DO	M	45	Yes
2014	4	1978-01-08	DM	F	48	Yes
2013	7	2013-07-18	DM	M	48	Yes
2013	3	2013-10-17	DO	F	50	Yes
2014	1	2014-03-13	DM	F	51	Yes
2013	8	2013-08-19	DO	F	52	Yes
2014	2	2014-02-18	DM	M	52	Yes
2014	4	1978-01-08	DO	M	52	Yes
2013	4	2013-11-13	DS	F	107	Yes
2013	14	2013-11-13	DS	F	113	No
2014	3	2015-07-08	NA	F	115	Yes
2013	4	2013-11-13	DS	F	115	Yes
2013	9	2013-11-12	DS	F	117	Yes
2013	11	2013-11-13	DS	F	122	Yes
2013	11	2013-11-13	DS	F	126	Yes
2013	17	2013-11-13	DS	M	132	No
2014	1	2014-03-13	DS	F	146	Yes
2014	2	2014-01-08	DS	M	157	No
2014	3	2015-05-18	NA	F	182	Yes
2014	3	2015-07-08	NA	M	190	Yes
2014	2	2014-02-18	NA	M	218	No
2014	3	2015-04-08	NA	F	null	Yes
2013	2	2013-07-16	DM	F	null	Yes
2014	4	1978-01-08	DM	M	null	Yes
2013	3	2013-07-16	DM	M	null	Yes
2013	1	2013-07-16	DM	M	null	Yes
2014	2	2014-01-08	NA	null	null	Yes
2014	2	2014-01-08	OT	null	null	Yes
2014	2	2014-01-08	OX	null	null	Yes
2014	3	2015-05-06	null	null	null	Yes
